                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5459,                 1.7856,                 1.6678,                0.78904,                0.90362,                 0.8726,                0.45244,                 1.5562,                 1.1024,                 1.8101,             0.00066066,             0.00066066,             0.00066066
                      2,                 1.4555,                 1.1576,                 1.5793,                0.77944,                0.70246,                0.74152,                0.38187,                 1.5328,                 1.6276,                 1.8461,              0.0013142,              0.0013142,              0.0013142
                      3,                 1.4402,                 1.1341,                   1.57,                0.82858,                0.82569,                0.86992,                0.47576,                 1.3686,                 1.1258,                 1.6355,              0.0019545,              0.0019545,              0.0019545
                      4,                 1.3634,                 1.0507,                 1.5157,                0.82903,                0.85321,                0.84545,                0.53121,                  1.263,                0.92499,                 1.5785,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3298,                 1.0192,                 1.5079,                0.80726,                0.92222,                0.88374,                0.58681,                 1.1367,                0.78019,                 1.4755,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2625,                0.94769,                 1.4647,                0.88061,                0.92049,                0.95665,                0.64324,                 1.1159,                 0.7227,                 1.4384,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2435,                0.92766,                 1.4554,                 0.8458,                0.93935,                0.93696,                0.64452,                 1.1081,                0.65405,                 1.4489,               0.001901,               0.001901,               0.001901
                      8,                 1.1839,                0.86282,                 1.3936,                0.86527,                0.94273,                 0.9322,                0.64446,                 1.0641,                0.71252,                 1.3917,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1823,                0.87572,                 1.4039,                0.87928,                0.91321,                 0.9336,                0.66179,                 1.0226,                0.63592,                 1.3515,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1399,                0.84521,                 1.3671,                0.87531,                 0.9446,                0.94111,                0.69216,                0.97844,                0.60107,                 1.3331,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.1166,                0.82551,                 1.3538,                0.87674,                0.92966,                0.95388,                0.68798,                0.97847,                0.60666,                 1.3423,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1275,                 0.8059,                 1.3533,                0.82841,                0.97248,                0.95281,                0.71377,                0.96162,                0.57238,                    1.3,               0.001802,               0.001802,               0.001802
                     13,                  1.101,                0.79878,                 1.3339,                0.85124,                0.97859,                0.94357,                0.69385,                0.98458,                0.60851,                 1.3176,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0844,                0.78072,                 1.3249,                0.89783,                0.94055,                0.95867,                0.72742,                0.91791,                0.55424,                 1.2677,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.078,                0.76174,                 1.3232,                0.87505,                0.96373,                0.96524,                0.68786,                 1.0188,                0.55126,                 1.3406,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0617,                0.76129,                 1.3151,                0.86644,                0.95226,                0.94304,                0.67038,                0.99933,                0.58481,                 1.3459,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0304,                0.75214,                 1.2863,                0.90503,                0.95719,                0.96014,                0.71293,                0.96972,                0.51941,                 1.3161,               0.001703,               0.001703,               0.001703
                     18,                 1.0192,                0.73121,                 1.2808,                0.83399,                0.99083,                0.94578,                0.70744,                0.93484,                0.55927,                 1.3008,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0342,                0.74806,                 1.3002,                0.87161,                 0.9633,                0.94948,                 0.7167,                0.87727,                0.51297,                 1.2595,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0077,                0.72526,                 1.2795,                0.89763,                0.95413,                0.95571,                0.74625,                 0.8295,                0.48253,                 1.2237,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0076,                0.72788,                 1.2791,                0.91224,                 0.9536,                0.96911,                0.74249,                0.86743,                0.50994,                 1.2346,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0077,                0.71076,                 1.2708,                0.88516,                0.96644,                0.96699,                0.74054,                0.85509,                0.50638,                 1.2152,               0.001604,               0.001604,               0.001604
                     23,                0.98445,                0.69658,                 1.2526,                0.91618,                0.94801,                 0.9736,                0.76429,                0.83483,                0.46534,                 1.2133,              0.0015842,              0.0015842,              0.0015842
                     24,                0.98913,                0.71061,                 1.2586,                0.90182,                0.93884,                0.95315,                0.75254,                0.83455,                0.46762,                 1.2044,              0.0015644,              0.0015644,              0.0015644
